,LAT,LON,Cuenta
854,6.1747389,-75.578581,7
248,6.1633793,-75.593414,6
1052,6.1856577,-75.581745,6
890,6.1754947,-75.585757,6
355,6.1656128,-75.58834,6
339,6.165292,-75.583477,6
378,6.1659843,-75.583069,6
749,6.1725579,-75.588902,6
592,6.1699262,-75.59176,6
893,6.175631,-75.582466,6
937,6.1770433,-75.5888,6
45,6.15655,-75.588357,6
128,6.1599929,-75.597954,6
606,6.1701686,-75.580052,6
845,6.1744904,-75.587547,6
127,6.159959,-75.581966,6
311,6.164811,-75.589565,6
881,6.175294,-75.586935,6
633,6.1706118,-75.587525,6
323,6.164965,-75.5964,6
736,6.172329,-75.579302,6
15,6.1533704,-75.574402,6
364,6.1657867,-75.573801,6
738,6.1723726,-75.584554,6
617,6.1703414,-75.584029,6
139,6.1602961,-75.58129,6
104,6.1591332,-75.596383,6
567,6.169469,-75.594676,6
570,6.1694874,-75.582046,6
941,6.1772443,-75.568535,6
19,6.153897,-75.586099,6
451,6.1672835,-75.595057,6
173,6.1612319,-75.594504,6
472,6.167677,-75.582671,6
916,6.1763849,-75.584294,6
918,6.1764772,-75.58437,6
685,6.171565,-75.584239,6
260,6.163798,-75.582897,6
774,6.1729456,-75.563451,6
773,6.1729277,-75.5869,6
279,6.164168,-75.5854,6
977,6.179381,-75.57898,6
202,6.1619719,-75.581617,6
971,6.1791381,-75.587457,6
497,6.1681978,-75.56327,6
97,6.1590026,-75.585412,6
28,6.1549624,-75.580959,6
270,6.1639642,-75.581376,6
425,6.1668991,-75.584597,6
29,6.1550599,-75.584861,6
268,6.1639464,-75.590904,6
711,6.1719569,-75.584296,6
221,6.1625305,-75.602554,6
404,6.166333,-75.583606,6
506,6.1683784,-75.591547,6
513,6.1684648,-75.581536,6
737,6.1723342,-75.584447,6
952,6.177736,-75.586123,6
653,6.1709949,-75.565801,6
719,6.1720712,-75.585117,6
182,6.1614714,-75.590981,6
953,6.1777759,-75.578564,6
295,6.1644496,-75.567971,6
660,6.1711261,-75.565913,6
292,6.1643565,-75.589182,6
675,6.1714027,-75.5922,6
786,6.1732392,-75.582514,6
192,6.1617377,-75.595637,6
516,6.168481,-75.581672,6
992,6.1803114,-75.590333,5
983,6.1796709,-75.581486,5
650,6.1709394,-75.57669,5
780,6.1730469,-75.591652,5
750,6.1725757,-75.577144,5
708,6.1718985,-75.578327,5
24,6.1545319,-75.584346,5
755,6.172659,-75.59002,5
701,6.1718,-75.578268,5
717,6.1720213,-75.593278,5
5,6.1505743,-75.57767,5
14,6.1531898,-75.583811,5
1028,6.1829301,-75.58093,5
692,6.1716464,-75.582738,5
982,6.1796697,-75.57988,5
809,6.1737805,-75.588204,5
872,6.1751226,-75.576955,5
37,6.1558998,-75.601282,5
