,Fecha,Hora,DOW,Coordenadas,Ciudad,Heridos,Cuenta heridos,Muertos,Cuenta muertos,Clase accidente,Barrio,Tipo vehiculo
2308,2020-12-25,15,5,"3.52373,-76.28457",Palmira,0,,0,,Choque,CUIDALEDA PALMIRA,AUTOMOVIL
2309,2020-12-23,20,3,"3.52434,-76.29856",Palmira,1,,0,,Choque,DELICIAS,MOTO
2310,2020-12-23,20,3,"3.52434,-76.29856",Palmira,1,,0,,Choque,DELICIAS,AUTOMOVIL
2311,2020-12-23,20,3,"3.52434,-76.29856",Palmira,1,,0,,Choque,DELICIAS,NO APLICA
2312,2020-12-24,15,4,"3.50897,-76.29888",Palmira,0,,0,,Choque,SESQUI,AUTOMOVIL
2313,2020-12-24,15,4,"3.50897,-76.29888",Palmira,0,,0,,Choque,SESQUI,AUTOMOVIL
2314,2020-12-24,19,4,"3.52533,-76.3124",Palmira,0,,0,,Choque,SANTA BARBARA,MOTO
2315,2020-12-24,19,4,"3.52533,-76.3124",Palmira,0,,0,,Choque,SANTA BARBARA,AUTOMOVIL
2316,2020-12-26,15,6,"3.52422,-76.28997",Palmira,0,,0,,Choque,COLOMBINA,AUTOMOVIL
2317,2020-12-26,15,6,"3.52422,-76.28997",Palmira,0,,0,,Choque,COLOMBINA,AUTOMOVIL
2318,2020-12-26,15,6,"3.50548,-76.30029",Palmira,1,,0,,Choque,LA ITALIA,MOTO
2319,2020-12-26,15,6,"3.50548,-76.30029",Palmira,1,,0,,Choque,LA ITALIA,CAMIONETA
2320,2020-12-26,15,6,"3.5309,-76.29658",Palmira,0,,0,,Choque,OBRERO,AUTOMOVIL
2321,2020-12-26,15,6,"3.5309,-76.29658",Palmira,0,,0,,Choque,OBRERO,CAMION
2322,2020-12-27,10,7,"3.57995,-76.32762",Palmira,1,,0,,Choque,VIA CORONADO ROZO,MOTO
2323,2020-12-27,10,7,"3.57995,-76.32762",Palmira,1,,0,,Choque,VIA CORONADO ROZO,MOTO
2324,2020-12-27,10,7,"3.57995,-76.32762",Palmira,1,,0,,Choque,VIA CORONADO ROZO,NO APLICA
2325,2020-12-27,11,7,"3.53204,-76.29232",Palmira,1,,0,,Choque,BIZERTA,MOTO
2326,2020-12-27,11,7,"3.53204,-76.29232",Palmira,1,,0,,Choque,BIZERTA,AUTOMOVIL
2327,2020-12-27,15,7,"3.61472,-76.38767",Palmira,1,,0,,Choque,CENTRO POBLADO ROZO,MOTO
2328,2020-12-27,15,7,"3.61472,-76.38767",Palmira,1,,0,,Choque,CENTRO POBLADO ROZO,AUTOMOVIL
2329,2020-12-27,15,7,"3.55194,-76.29373",Palmira,1,,0,,Choque,ZAMORANO,AUTOMOVIL
2330,2020-12-27,15,7,"3.55194,-76.29373",Palmira,1,,0,,Choque,ZAMORANO,MOTO
2331,2020-12-27,15,7,"3.55194,-76.29373",Palmira,1,,0,,Choque,ZAMORANO,NO APLICA
2332,2020-12-27,20,7,"3.52922,-76.29049",Palmira,1,,0,,Choque,DANUBIO,MOTO
2333,2020-12-27,20,7,"3.52922,-76.29049",Palmira,1,,0,,Choque,DANUBIO,AUTOMOVIL
2334,2020-12-27,20,7,"3.52922,-76.29049",Palmira,1,,0,,Choque,DANUBIO,NO APLICA
2335,2020-12-19,22,6,"3.5487,-76.29488",Palmira,1,,0,,Choque,MERCEDES,MOTO
2336,2020-12-19,22,6,"3.5487,-76.29488",Palmira,1,,0,,Choque,MERCEDES,CAMPERO
2337,2020-12-19,22,6,"3.5487,-76.29488",Palmira,1,,0,,Choque,MERCEDES,NO APLICA
2338,2020-12-21,10,1,"3.52684,-76.29809",Palmira,1,,0,,Choque,NUEVO,MOTO
2339,2020-12-21,10,1,"3.52684,-76.29809",Palmira,1,,0,,Choque,NUEVO,BICICLETA
2340,2020-12-24,10,4,"3.53269,-76.29711",Palmira,0,,0,,Choque,EMILIA,AUTOMOVIL
2341,2020-12-24,10,4,"3.53269,-76.29711",Palmira,0,,0,,Choque,EMILIA,MOTO
2342,2020-12-24,13,4,"3.50271,-76.31674",Palmira,1,,0,,Choque,CHAPINERO SUR,MOTO
2343,2020-12-24,13,4,"3.50271,-76.31674",Palmira,1,,0,,Choque,CHAPINERO SUR,BICICLETA
2344,2020-12-28,9,1,"3.54847,-76.30978",Palmira,1,,0,,Choque,CORONADO,VOLQUETA
2345,2020-12-28,9,1,"3.54847,-76.30978",Palmira,1,,0,,Choque,CORONADO,MOTO
2346,2020-12-28,9,1,"3.54847,-76.30978",Palmira,1,,0,,Choque,CORONADO,NO APLICA
2347,2020-12-23,13,3,"3.52995,-76.29583",Palmira,1,,0,,Choque,OBRERO,CAMIONETA
2348,2020-12-23,13,3,"3.52995,-76.29583",Palmira,1,,0,,Choque,OBRERO,MOTO
2349,2020-12-23,13,3,"3.52995,-76.29583",Palmira,1,,0,,Choque,OBRERO,NO APLICA
2350,2020-12-28,13,1,"3.5371,-76.31974",Palmira,0,,0,,Choque,FRAY LUIS,CAMIONETA
2351,2020-12-28,13,1,"3.5371,-76.31974",Palmira,0,,0,,Choque,FRAY LUIS,AUTOMOVIL
2352,2020-12-29,5,2,"3.45524,-76.47063",Palmira,0,,0,,Choque,CUIDAD DEL CAMPO,MOTO
2353,2020-12-29,5,2,"3.45524,-76.47063",Palmira,0,,0,,Choque,CUIDAD DEL CAMPO,MOTO
