,LAT,LON,Cuenta
952,3.54795,-76.29334,2
798,3.53878,-76.31471,2
949,3.54783,-76.31196,2
801,3.53883,-76.31546,2
802,3.53884,-76.3149,2
803,3.53884,-76.29721,2
804,3.53885,-76.30988,2
947,3.54776,-76.28961,2
805,3.53885,-76.30788,2
806,3.53885,-76.29868,2
946,3.54776,-76.28962,2
807,3.53886,-76.29868,2
809,3.53888,-76.31401,2
580,3.53282,-76.308,2
791,3.53874,-76.30605,2
789,3.53874,-76.3067,2
770,3.53851,-76.30279,2
788,3.53874,-76.31624,2
771,3.53856,-76.29026,2
772,3.53857,-76.30405,2
773,3.53858,-76.30384,2
774,3.53859,-76.30383,2
775,3.53861,-76.30272,2
776,3.53861,-76.29607,2
957,3.54813,-76.29091,2
777,3.53863,-76.3027,2
778,3.53865,-76.29721,2
779,3.53868,-76.2895,2
780,3.53869,-76.30388,2
956,3.54804,-76.30988,2
781,3.5387,-76.30631,2
782,3.53871,-76.30392,2
955,3.54798,-76.25897,2
785,3.53873,-76.30687,2
954,3.54798,-76.28867,2
953,3.54798,-76.29333,2
787,3.53873,-76.30619,2
581,3.53282,-76.29138,2
0,3.37882,-76.29446,2
579,3.5328,-76.29805,2
235,3.52474,-76.29503,2
201,3.52389,-76.29512,2
202,3.52389,-76.2867,2
203,3.52396,-76.30225,2
204,3.52403,-76.28808,2
205,3.52404,-76.30296,2
206,3.52404,-76.30295,2
208,3.52417,-76.27835,2
209,3.52421,-76.28983,2
210,3.52422,-76.28997,2
211,3.5243,-76.29072,2
212,3.5243,-76.29071,2
213,3.52431,-76.28438,2
214,3.52433,-76.29855,2
216,3.52434,-76.29855,2
217,3.52436,-76.28457,2
220,3.52445,-76.29764,2
221,3.52455,-76.30013,2
223,3.52456,-76.28664,2
224,3.52457,-76.28664,2
226,3.52458,-76.28661,2
227,3.52459,-76.30012,2
231,3.52472,-76.29501,2
233,3.52473,-76.295,2
200,3.52387,-76.29505,2
197,3.52387,-76.29508,2
194,3.52385,-76.29505,2
180,3.52314,-76.29428,2
162,3.52189,-76.29965,2
163,3.5223,-76.30257,2
169,3.52258,-76.29091,2
170,3.52258,-76.2909,2
172,3.52275,-76.28009,2
173,3.52276,-76.29592,2
175,3.52299,-76.30146,2
177,3.5231,-76.2934,2
178,3.52311,-76.2934,2
179,3.52314,-76.30241,2
181,3.52314,-76.28553,2
193,3.52382,-76.30132,2
182,3.52318,-76.30854,2
183,3.52324,-76.29869,2
184,3.52338,-76.31232,2
185,3.52341,-76.31231,2
186,3.52358,-76.29251,2
187,3.52361,-76.29271,2
188,3.52369,-76.30028,2
189,3.52373,-76.28536,2
191,3.52378,-76.29424,2
192,3.52382,-76.30133,2
234,3.52473,-76.27819,2
236,3.52474,-76.28553,2
160,3.52185,-76.27894,2
237,3.52476,-76.30155,2
277,3.52562,-76.29569,2
278,3.52563,-76.27456,2
279,3.52564,-76.29569,2
281,3.52578,-76.28961,2
