,LAT,LON,Cuenta
14,10.9225652,-74.8043448,4
627,10.9831596,-74.7671922,4
290,10.9546082,-74.8306551,4
2,10.9153516,-74.8287149,4
729,10.9912064,-74.8532355,4
280,10.953362,-74.769638,4
621,10.982572,-74.7753714,4
6,10.921716,-74.7992906,4
159,10.9431371,-74.8314096,4
262,10.9516731,-74.7970705,4
389,10.9613352,-74.8265037,4
247,10.9507756,-74.7542622,4
692,10.9883371,-74.8256364,4
666,10.9859994,-74.8328541,4
659,10.9854065,-74.8059188,4
598,10.981066,-74.7655817,4
343,10.9582145,-74.804513,4
798,10.9962883,-74.8173729,4
44,10.927316,-74.797721,4
418,10.9637654,-74.7790356,4
423,10.9640164,-74.8430702,4
1010,11.0233313,-74.807213,4
527,10.9751806,-74.8157538,4
859,11.0019405,-74.7848033,4
371,10.9595707,-74.7748265,4
510,10.9729172,-74.8166841,3
508,10.9726021,-74.8227601,3
993,11.0210049,-74.8029377,3
1044,11.0383499,-74.8248332,3
990,11.0208863,-74.8057444,3
517,10.9739495,-74.8270869,3
1025,11.028641100000002,-74.80150837577858,3
1019,11.025045,-74.8037072,3
522,10.9747045,-74.8433612,3
655,10.9853524,-74.8136046,3
584,10.9793953,-74.8231074,3
973,11.0183368,-74.8040236,3
778,10.9947464,-74.7841864,3
639,10.9841101,-74.8170182,3
694,10.9885348,-74.7705465,3
711,10.9895398,-74.8153919,3
714,10.9897135,-74.810069,3
715,10.9897382,-74.7894609,3
624,10.9827287,-74.8101395,3
734,10.9915009,-74.7823178,3
618,10.9824897,-74.8065297,3
773,10.994660549999999,-74.81281058490728,3
780,10.9948876,-74.7881887,3
951,11.0138234,-74.8392812,3
601,10.9812577,-74.7782369,3
781,10.99500235,-74.8136398545047,3
595,10.9809035,-74.8431244,3
790,10.9958568,-74.7827688,3
589,10.9804367,-74.8069161,3
855,11.0014947,-74.807009,3
576,10.9791333,-74.8260025,3
575,10.979092900000001,-74.82668000196733,3
868,11.0027837,-74.84247934453633,3
501,10.971598,-74.8407901,3
0,10.915026,-74.8287633,3
129,10.9392802,-74.8139993,3
428,10.9643482,-74.8301596,3
163,10.9433868,-74.7761556,3
369,10.9594954,-74.8038179,3
155,10.9429087,-74.7808888,3
367,10.9593997,-74.7861031,3
478,10.9687295,-74.8278826,3
354,10.9586599,-74.8410078,3
100,10.9357022,-74.8060736,3
111,10.9370647,-74.8015013,3
485,10.9693404,-74.8356442,3
27,10.9239354,-74.8105822,3
346,10.9582566,-74.7631595,3
29,10.9242341,-74.7990145,3
35,10.9261951,-74.8244217,3
338,10.9580659,-74.7828827,3
319,10.9563825,-74.8444692,3
447,10.965803,-74.8230475,3
169,10.9436516,-74.8296713,3
424,10.9641681,-74.7690986,3
245,10.9506438,-74.8089047,3
394,10.9619115,-74.7771547,3
80,10.9335423,-74.8160583,3
175,10.9443888,-74.8090797,3
206,10.9467882,-74.8243534,3
492,10.9703412,-74.7851041,3
4,10.9194114,-74.8227796,3
931,11.0099611,-74.7923271401601,2
113,10.9372744,-74.778775,2
345,10.958254,-74.8590399,2
610,10.981691099999999,-74.77836118155246,2
344,10.9582351,-74.7917514,2
74,10.9329211,-74.8188259,2
608,10.98166275,-74.84368494993491,2
393,10.961846,-74.8192223,2
116,10.9374607,-74.8071043,2
334,10.9577286,-74.7829516,2
926,11.0093298,-74.7891471,2
923,11.0085114,-74.8327375,2
673,10.986592900000002,-74.81912623325198,2
935,11.0106846,-74.7837722,2
647,10.984591,-74.7673782,2
615,10.981937,-74.777398,2
946,11.0128755,-74.7969264,2
