,Fecha,DOW,Ciudad,Heridos,Cuenta Heridos,Muertos,Cuenta Muertos,Clase accidente,Hora,Clima
11992,2019-11-10 05:00:00,7,Boyacá,0,0.0,0,0.0,Choque,7.0,Normal
11993,2019-11-13 05:00:00,3,Boyacá,1,1.0,1,1.0,Choque,15.0,Normal
11994,2019-11-11 05:00:00,1,Boyacá,0,0.0,0,0.0,Salida de la vía sin volcarse,8.0,Normal
11995,2019-11-03 05:00:00,7,Boyacá,1,3.0,1,1.0,Volcamiento,9.0,Normal
11996,2019-11-09 05:00:00,6,Sucre,0,0.0,0,0.0,Choque,19.0,Seca
11997,2020-01-17 05:00:00,5,Cauca,0,0.0,0,0.0,Choque,17.0,Seca
11998,2019-08-27 05:00:00,2,Planta Central,0,0.0,0,0.0,Choque,11.0,Normal
11999,2019-09-03 05:00:00,2,Planta Central,0,0.0,0,0.0,Volcamiento,12.0,Normal
12000,2019-09-06 05:00:00,5,Planta Central,0,0.0,0,0.0,Choque,10.0,Normal
12001,2019-09-09 05:00:00,1,Planta Central,1,2.0,0,0.0,Choque,3.0,Normal
12002,2019-12-02 05:00:00,1,Boyacá,0,0.0,0,0.0,Choque,5.0,Normal
12003,2019-12-03 05:00:00,2,Boyacá,0,0.0,0,0.0,Choque,8.0,Normal
12004,2019-12-07 05:00:00,6,Boyacá,0,0.0,0,0.0,Choque,18.0,Normal
12005,2019-12-07 05:00:00,6,Boyacá,0,0.0,0,0.0,Choque,15.0,Normal
12006,2019-12-07 05:00:00,6,Boyacá,0,0.0,0,0.0,Volcamiento,19.0,Normal
12007,2019-12-12 05:00:00,4,Boyacá,1,4.0,0,0.0,Choque,5.0,Normal
12008,2019-12-14 05:00:00,6,Boyacá,0,0.0,0,0.0,Choque,12.0,Normal
12009,2019-12-14 05:00:00,6,Boyacá,0,0.0,0,0.0,Choque,4.0,Normal
12010,2019-12-16 05:00:00,1,Boyacá,0,0.0,0,0.0,Salida de la vía sin volcarse,7.0,Normal
12011,2019-12-17 05:00:00,2,Boyacá,0,0.0,0,0.0,Choque,4.0,Normal
12012,2019-12-17 05:00:00,2,Boyacá,0,0.0,0,0.0,Volcamiento,17.0,Lluvia
12013,2019-12-19 05:00:00,4,Boyacá,0,0.0,0,0.0,Volcamiento,12.0,Normal
12014,2019-12-21 05:00:00,6,Boyacá,1,1.0,0,0.0,Choque,14.0,Normal
12015,2019-12-22 05:00:00,7,Boyacá,0,0.0,0,0.0,Choque,14.0,Normal
12016,2019-12-27 05:00:00,5,Boyacá,0,0.0,0,0.0,Salida de la vía sin volcarse,14.0,Seca
12017,2019-12-29 05:00:00,7,Boyacá,1,2.0,0,0.0,Choque,10.0,Normal
12018,2019-09-12 05:00:00,4,Planta Central,0,0.0,0,0.0,Volcamiento,5.0,Normal
12019,2019-09-17 05:00:00,2,Planta Central,0,0.0,0,0.0,Volcamiento,14.0,Normal
12020,2019-09-17 05:00:00,2,Planta Central,0,0.0,0,0.0,Volcamiento,4.0,Sol
12021,2019-09-18 05:00:00,3,Planta Central,0,0.0,0,0.0,Volcamiento,6.0,Lluvia
12022,2020-01-13 05:00:00,1,Caquetá,1,1.0,0,0.0,Choque,18.0,Seca
12023,2019-09-23 05:00:00,1,Planta Central,0,0.0,0,0.0,Volcamiento,22.0,Lluvia
12024,2019-09-24 05:00:00,2,Planta Central,0,0.0,0,0.0,Choque,1.0,Normal
12025,2019-09-29 05:00:00,7,Planta Central,0,0.0,0,0.0,Choque,4.0,Lluvia
12026,2019-09-30 05:00:00,1,Planta Central,0,0.0,0,0.0,Volcamiento,20.0,Normal
12027,2019-10-07 05:00:00,1,Planta Central,0,0.0,0,0.0,Volcamiento,16.0,Normal
12028,2019-10-13 05:00:00,7,Planta Central,0,0.0,0,0.0,Volcamiento,5.0,Lluvia
12029,2019-10-18 05:00:00,5,Planta Central,0,0.0,0,0.0,Choque,10.0,Normal
12030,2020-01-12 05:00:00,7,Caquetá,1,1.0,0,0.0,Choque,16.0,Seca
