,Fecha,DOW,Ciudad,Heridos,Cuenta Heridos,Muertos,Cuenta Muertos,Hora,Tipo de vehiculo,Barrio,Comuna
27296,2018-12-28,5,Bucaramanga,1,,0,,10,"('CAMIONETA',)",Alarcón,03. SAN FRANCISCO
27297,2018-12-28,5,Bucaramanga,1,,0,,11,"('AUTOMOVIL',)",Centro,15. CENTRO
27298,2018-12-28,5,Bucaramanga,0,,0,,10,"('CAMPAERO', 'CAMIONETA')",Cabecera del Llano,12. CABECERA DEL LLANO
27299,2018-12-28,5,Bucaramanga,0,,0,,19,"('CAMIONETA', 'MICRO')",El Tejar,16. LAGOS DEL CACIQUE
27300,2018-12-28,5,Bucaramanga,1,,0,,17,"('CAMION',)",San Martín,09. LA PEDREGOSA
27301,2018-12-28,5,Bucaramanga,1,,0,,18,,Mejoras Públicas,13. ORIENTAL
27302,2018-12-28,5,Bucaramanga,0,,0,,19,"('CAMPAERO',)",Los Pinos,13. ORIENTAL
27303,2018-12-28,5,Bucaramanga,1,,0,,21,"('CAMIONETA',)",Ciudadela Real de Minas,07. LA CIUDADELA
27304,2018-12-28,5,Bucaramanga,1,,0,,21,"('AUTOMOVIL',)",Antonia Santos Sur,09. LA PEDREGOSA
27305,2018-12-28,5,Bucaramanga,1,,0,,23,,Alfonso López,05. GARCIA ROVIRA
27306,2018-12-29,6,Bucaramanga,0,,0,,0,"('AUTOMOVIL',)",Ciudad Venecia,11. SUR
27307,2018-12-29,6,Bucaramanga,0,,0,,7,"('CAMIONETA', 'CAMION')",Alfonso López,05. GARCIA ROVIRA
27308,2018-12-29,6,Bucaramanga,1,,0,,9,"('BUS',)",Centro,15. CENTRO
27309,2018-12-29,6,Bucaramanga,0,,0,,10,"('CAMIONETA', 'BUSETA')",Ricaurte,06. LA CONCORDIA
27310,2018-12-29,6,Bucaramanga,0,,0,,8,"('AUTOMOVIL',)",La Joya,05. GARCIA ROVIRA
27311,2018-12-29,6,Bucaramanga,0,,0,,12,"('CAMIONETA',)",San Francisco,03. SAN FRANCISCO
27312,2018-12-29,6,Bucaramanga,0,,0,,12,"('AUTOMOVIL', 'CAMIONETA')",Centro,15. CENTRO
27313,2018-12-29,6,Bucaramanga,1,,0,,14,"('AUTOMOVIL',)",Quinta Dania,14. MORRORICO
27314,2018-12-29,6,Bucaramanga,0,,0,,14,"('AUTOMOVIL',)",La Concordia,06. LA CONCORDIA
27315,2018-12-29,6,Bucaramanga,1,,0,,14,"('CAMIONETA',)",San Rafael,03. SAN FRANCISCO
27316,2018-12-29,6,Bucaramanga,1,,0,,16,"('BICICLETA',)",Alfonso López,05. GARCIA ROVIRA
27317,2018-12-29,6,Bucaramanga,0,,0,,14,"('AUTOMOVIL',)",Nuevo Sotomayor,12. CABECERA DEL LLANO
27318,2018-12-29,6,Bucaramanga,1,,0,,16,"('CAMPAERO',)",La Concordia,06. LA CONCORDIA
27319,2018-12-30,7,Bucaramanga,1,,0,,9,"('CAMIONETA',)",Cabecera del Llano,12. CABECERA DEL LLANO
27320,2018-12-30,7,Bucaramanga,0,,0,,10,"('CAMIONETA',)",Villa Mercedes,02. NORORIENTAL
27321,2018-12-30,7,Bucaramanga,1,,0,,12,"('CAMIONETA',)",Modelo,03. SAN FRANCISCO
27322,2018-12-30,7,Bucaramanga,0,,0,,16,"('AUTOMOVIL', 'CAMIONETA')",Diamante I,09. LA PEDREGOSA
27323,2018-12-30,7,Bucaramanga,1,,0,,17,"('CAMIONETA', 'BUS')",Gaitán,04. OCCIDENTAL
